discount,discountPercentage,discountedFee,fee,id,lab_id,test_name,test_type,lab_name
800,20,3200,4000,61879,1,BLOOD CULTURE & SENSITIVITY AEROBIC+ANAEROBIC (SIGNAL),Pathology,One Health Labs
500,20,2000,2500,61877,1,BLOOD CULTURE & SENSITIVITY AUTO AEROBIC,Pathology,One Health Labs
400,20,1600,2000,61878,1,BLOOD CULTURE & SENSITIVITY MANUAL AEROBIC,Pathology,One Health Labs
120,20,480,600,61880,1,BLOOD GROUP,Pathology,One Health Labs
180,30,420,600,39617,1,Blood Group & Rh Factor,Pathology,One Health Labs
600,20,2400,3000,61881,1,BNP (BRAIN NATRIUTRETIC PEPTIDE),Pathology,One Health Labs
140,20,560,700,61882,1,BUN (BLOOD UREA NITROGEN),Pathology,One Health Labs
460,20,1840,2300,61886,1,C-3 (COMPLEMENT-3),Pathology,One Health Labs
460,20,1840,2300,61887,1,C-4 (COMPLEMENT-4),Pathology,One Health Labs
900,20,3600,4500,61883,1,C-Peptide,Pathology,One Health Labs
600,20,2400,3000,61888,1,CA-125 (Cancer Antigen-125),Pathology,One Health Labs
370,20,1480,1850,61890,1,"CARDIAC ENZYMES (SGOT,CPK,LDH)",Pathology,One Health Labs
140,20,560,700,61891,1,CBC (COMPLETE BLOOD COUNT),Pathology,One Health Labs
800,20,3200,4000,61885,1,CEA (CARCINOEMBRYONIC ANTIGEN),Pathology,One Health Labs
110,20,440,550,61893,1,CHOLESTROL,Pathology,One Health Labs
320,20,1280,1600,61894,1,CK-MB,Pathology,One Health Labs
220,20,880,1100,61905,1,Coombs Direct,Pathology,One Health Labs
420,20,1680,2100,61896,1,CORTISOL,Pathology,One Health Labs
1050,30,2450,3500,39607,1,COVID-19,Pathology,One Health Labs
500,20,2000,2500,62037,1,Covid-19 Rapid Antigen,Pathology,One Health Labs
160,20,640,800,61897,1,CPK (CREATINE PHOSPHO KINASE),Pathology,One Health Labs
120,20,480,600,61898,1,CREATININE,Pathology,One Health Labs
330,20,1320,1650,61884,1,CRP (C-REACTIVE PROTEIN),Pathology,One Health Labs
400,20,1600,2000,61899,1,CSF FOR D/R,Pathology,One Health Labs
460,20,1840,2300,61900,1,Cytomegalovirus IgG,Pathology,One Health Labs
360,20,1440,1800,61901,1,Cytomegalovirus IgM,Pathology,One Health Labs
400,20,1600,2000,61902,1,D-DIMER,Pathology,One Health Labs
280,20,1120,1400,61903,1,"DENGUE (IgG, IgM )",Pathology,One Health Labs
300,20,1200,1500,61904,1,Dengue NS1 Antigen,Pathology,One Health Labs
800,20,3200,4000,62049,1,Drugs of Abuse Screening (10 Drugs),Pathology,One Health Labs
400,20,1600,2000,61906,1,EAR SWAB CULTURE & SENSITIVITY (LEFT SIDE),Pathology,One Health Labs
200,20,800,1000,61907,1,ELECTROLYTES,Pathology,One Health Labs
300,30,700,1000,39605,1,Electrolytes (Serum),Pathology,One Health Labs
120,30,280,400,39598,1,ESR,Pathology,One Health Labs
70,20,280,350,61908,1,ESR (ERYTHROCYTE SEDIMENTATION RATE),Pathology,One Health Labs
400,20,1600,2000,61909,1,Estradiol/ Estrogen,Pathology,One Health Labs
400,20,1600,2000,61895,1,Eye Conjuctival Swab C/S,Pathology,One Health Labs
60,20,240,300,61921,1,FBS (GLUCOSE FASTING),Pathology,One Health Labs
390,20,1560,1950,61910,1,FERRITIN CLIA,Pathology,One Health Labs
445,20,1780,2225,61911,1,FIBRINOGEN DEGRADATION PRODUCT PLASMA (FDP),Pathology,One Health Labs
400,20,1600,2000,61912,1,FLUID FOR CULTURE & SENSITIVITY (AEROBIC),Pathology,One Health Labs
400,20,1600,2000,61914,1,FOLIC ACID / FOLATE,Pathology,One Health Labs
360,20,1440,1800,61917,1,FSH,Pathology,One Health Labs
300,20,1200,1500,61915,1,FT3 (FREE TRIODOTHYRONINE),Pathology,One Health Labs
300,20,1200,1500,61916,1,FT4 (FREE THYROXINE),Pathology,One Health Labs
520,20,2080,2600,61918,1,G6PD,Pathology,One Health Labs
110,20,440,550,61919,1,GAMA GT,Pathology,One Health Labs
160,20,640,800,61920,1,GLUCOSE CHALLENGE TEST (GCT),Pathology,One Health Labs
180,20,720,900,61923,1,GLUCOSE TOLERANCE TEST (GTT 2 HR),Pathology,One Health Labs
180,20,720,900,61924,1,GLUCOSE TOLERANCE TEST (GTT),Pathology,One Health Labs
360,30,840,1200,39595,1,Glycosylated Hemoglobin (HbA1C),Pathology,One Health Labs
110,20,440,550,61925,1,Gram stain.,Pathology,One Health Labs
800,20,3200,4000,61926,1,Growth Hormone,Pathology,One Health Labs
200,20,800,1000,61927,1,H.PYLORI Antibody (Helicobacter Pylori) ICT,Pathology,One Health Labs
360,30,840,1200,39616,1,Hb,Pathology,One Health Labs
96,20,384,480,61930,1,HB (HAEMOGLOBIN),Pathology,One Health Labs
520,20,2080,2600,61929,1,HB ELECTROPHORESIS BY (HPLC),Pathology,One Health Labs
320,20,1280,1600,62043,1,HbA1c By HPLC,Pathology,One Health Labs
318,20,1272,1590,61931,1,HBs Ag (Hepatitis B Surface Antigen) CLIA,Pathology,One Health Labs
120,20,480,600,61932,1,Hbs Ag SCREENING (ICT),Pathology,One Health Labs
120,30,280,400,39603,1,HBsAg,Pathology,One Health Labs
1100,20,4400,5500,61933,1,HBV DETECTION BY REAL TIME PCR (QUALITATIVE),Pathology,One Health Labs
1200,20,4800,6000,61934,1,HBV DETECTION BY REAL TIME PCR (QUANTITATIVE),Pathology,One Health Labs
380,20,1520,1900,61865,1,HCV (HEPATITIS C ANTIBODY) CLIA,Pathology,One Health Labs
1100,20,4400,5500,61935,1,HCV RNA DETECTION BY REAL TIME PCR (QUALITATIVE),Pathology,One Health Labs
1200,20,4800,6000,61936,1,HCV RNA DETECTION BY REAL TIME PCR (QUANTITATIVE),Pathology,One Health Labs
120,20,480,600,61937,1,HDL (HIGH DENSITY LIPOPROTEINS) CHOLESTROL,Pathology,One Health Labs
360,20,1440,1800,61938,1,Herpes Simplex IgM,Pathology,One Health Labs
460,20,1840,2300,62044,1,HIV (Human Immunodeficiency Virus) CLIA,Pathology,One Health Labs
140,20,560,700,61939,1,HIV SCREENING (ICT),Pathology,One Health Labs
400,20,1600,2000,61940,1,HVS FOR CULTURE & SENSITIVITY,Pathology,One Health Labs
200,20,800,1000,61941,1,ICT MALARIA ANTIGEN,Pathology,One Health Labs
200,20,800,1000,61942,1,ICT TUBERCULOSIS,Pathology,One Health Labs
360,20,1440,1800,61943,1,IMMUNOGLOBULIN (IgE),Pathology,One Health Labs
340,20,1360,1700,61944,1,Immunoglobulins IgA,Pathology,One Health Labs
340,20,1360,1700,61945,1,Immunoglobulins IgG,Pathology,One Health Labs
340,20,1360,1700,61946,1,Immunoglobulins IgM,Pathology,One Health Labs
360,20,1440,1800,61947,1,INSULIN LEVEL (FASTING),Pathology,One Health Labs
360,20,1440,1800,61948,1,INSULIN LEVEL (RANDOM),Pathology,One Health Labs
580,20,2320,2900,61949,1,LACTIC ACID / LACTATE,Pathology,One Health Labs
120,20,480,600,61950,1,LDH (LACTATE DEHYDROGENASE),Pathology,One Health Labs
120,20,480,600,61951,1,LDL (LOW DENSITY LIPOPROTEINS) CHOLESTROL,Pathology,One Health Labs
330,20,1320,1650,61952,1,LFT (LIVER FUNCTION TESTS),Pathology,One Health Labs
320,20,1280,1600,61953,1,LH (LUTEINIZING HORMONE),Pathology,One Health Labs
420,30,980,1400,39597,1,Lipid Profile,Pathology,One Health Labs
440,20,1760,2200,61955,1,LIPIDS PROFILE,Pathology,One Health Labs
240,20,960,1200,61956,1,LITHIUM,Pathology,One Health Labs
400,20,1600,2000,61957,1,LIVER ABSCESS FOR C/S,Pathology,One Health Labs
360,30,840,1200,39594,1,Liver Function Test With GGT,Pathology,One Health Labs
140,20,560,700,61958,1,MAGNESIUM,Pathology,One Health Labs
100,20,400,500,61959,1,Malarial Parasite,Pathology,One Health Labs
180,20,720,900,61960,1,OGTT,Pathology,One Health Labs
400,20,1600,2000,61962,1,Peritoneal Fluid for D/R,Pathology,One Health Labs
400,20,1600,2000,61961,1,Peritoneal For Culture & Sensitivity,Pathology,One Health Labs
540,30,1260,1800,39611,1,Plasma FDPs (D-Dimer),Pathology,One Health Labs
66,30,154,220,39606,1,Plasma Glucose (Fasting),Pathology,One Health Labs
420,30,980,1400,39599,1,Plasma Glucose (Random),Pathology,One Health Labs
96,20,384,480,61964,1,Platelet Count,Pathology,One Health Labs
600,20,2400,3000,61965,1,PLEURAL FLUID FOR AFB CULTURE AND SENSITIVITY,Pathology,One Health Labs
400,20,1600,2000,61966,1,PLEURAL FLUID FOR D/R,Pathology,One Health Labs
120,20,480,600,61967,1,PLEURAL FLUID FOR LDH,Pathology,One Health Labs
800,20,3200,4000,61969,1,PROCALCITONIN,Pathology,One Health Labs
320,20,1280,1600,61970,1,PROGESTERONE,Pathology,One Health Labs
360,20,1440,1800,61971,1,PROLACTIN,Pathology,One Health Labs
200,20,800,1000,61972,1,PROTEIN A/G RATIO,Pathology,One Health Labs
210,30,490,700,39610,1,Prothrombin Time (PT with INR),Pathology,One Health Labs
460,20,1840,2300,61973,1,PSA (PROSTATE - SPECIFIC ANTIGEN),Pathology,One Health Labs
440,20,1760,2200,61974,1,PTH (PARATHYROID HORMONE),Pathology,One Health Labs
400,20,1600,2000,61976,1,PUS FOR C/S AEROBIC (Swab),Pathology,One Health Labs
200,20,800,1000,61977,1,PUS FOR D/R,Pathology,One Health Labs
400,20,1600,2000,61975,1,PUS SWAB C/S (Lower side),Pathology,One Health Labs
200,20,800,1000,61978,1,RA FACTOR  (WITH TITRE),Pathology,One Health Labs
96,20,384,480,62032,1,RBC Count,Pathology,One Health Labs
480,20,1920,2400,61913,1,RBC FOLATE,Pathology,One Health Labs
60,20,240,300,61922,1,RBS (GLUCOSE RANDOM),Pathology,One Health Labs
2250,30,5250,7500,39593,1,Renal Function Tests,Pathology,One Health Labs
90,20,360,450,61979,1,RETICULOCYTES  COUNT,Pathology,One Health Labs
220,20,880,1100,61980,1,RH-ANTIBODY TITRE,Pathology,One Health Labs
400,20,1600,2000,61981,1,Rubella IgG.,Pathology,One Health Labs
360,20,1440,1800,61982,1,Rubella IgM.,Pathology,One Health Labs
200,20,800,1000,61983,1,S.BILIRUBIN,Pathology,One Health Labs
900,20,3600,4500,62042,1,SARS-CoV-2 (Covid-19) PCR (Non-Traveler),Pathology,One Health Labs
240,20,960,1200,61984,1,SEMEN ANALYSIS,Pathology,One Health Labs
400,20,1600,2000,61985,1,SEMEN FOR CULTURE & SENSITIVITY,Pathology,One Health Labs
100,20,400,500,61861,1,SERUM ALBUMIN,Pathology,One Health Labs
120,30,280,400,39612,1,Serum ALT (SGPT),Pathology,One Health Labs
220,20,880,1100,61864,1,SERUM AMYLASE,Pathology,One Health Labs
120,20,480,600,61889,1,SERUM CALCIUM,Pathology,One Health Labs
960,30,2240,3200,39613,1,Serum Calcium (Total),Pathology,One Health Labs
180,20,720,900,61892,1,SERUM CHLORIDE,Pathology,One Health Labs
480,30,1120,1600,39604,1,Serum Creatinine,Pathology,One Health Labs
300,30,700,1000,39601,1,Serum CRP,Pathology,One Health Labs
480,30,1120,1600,39608,1,Serum Ferritin,Pathology,One Health Labs
390,20,1560,1950,61928,1,SERUM H.PYLORI IgG (Helicobacter Pylori) CLIA,Pathology,One Health Labs
160,20,640,800,61986,1,SERUM IRON,Pathology,One Health Labs
220,20,880,1100,61954,1,SERUM LIPASE,Pathology,One Health Labs
140,20,560,700,61963,1,SERUM PHOSPHORUS,Pathology,One Health Labs
180,20,720,900,61968,1,SERUM POTASSIUM,Pathology,One Health Labs
180,20,720,900,61989,1,SERUM SODIUM,Pathology,One Health Labs
120,20,480,600,62007,1,SERUM TOTAL PROTEIN,Pathology,One Health Labs
285,30,665,950,39602,1,Serum TSH,Pathology,One Health Labs
130,20,520,650,62022,1,SERUM UREA,Pathology,One Health Labs
540,30,1260,1800,39596,1,Serum Uric Acid,Pathology,One Health Labs
90,20,360,450,61987,1,SGOT / AST,Pathology,One Health Labs
90,20,360,450,61988,1,SGPT / ALT,Pathology,One Health Labs
130,20,520,650,61990,1,Spot Urine Protein,Pathology,One Health Labs
110,20,440,550,61991,1,SPUTUM FOR AFB (1st sample),Pathology,One Health Labs
110,20,440,550,61992,1,SPUTUM FOR AFB (2nd sample),Pathology,One Health Labs
110,20,440,550,61993,1,SPUTUM FOR AFB (3rd sample),Pathology,One Health Labs
400,20,1600,2000,61994,1,SPUTUM for CULTURE & SENSITIVITY,Pathology,One Health Labs
200,20,800,1000,61995,1,SPUTUM FOR D/R,Pathology,One Health Labs
400,20,1600,2000,61996,1,STOOL CULTURE & SENSITIVITY,Pathology,One Health Labs
90,20,360,450,61997,1,STOOL D/R,Pathology,One Health Labs
400,20,1600,2000,61998,1,STOOL FOR HELICOBACTOR PYLORI ANTIGEN,Pathology,One Health Labs
80,20,320,400,62038,1,Stool Reducing Substance,Pathology,One Health Labs
400,20,1600,2000,61999,1,Swab C/S,Pathology,One Health Labs
400,20,1600,2000,62000,1,SYNOVIAL FLUID FOR CULTURE & SENSITIVITY,Pathology,One Health Labs
400,20,1600,2000,62001,1,SYNOVIAL FLUID FOR D/R,Pathology,One Health Labs
260,20,1040,1300,62002,1,T3 (TRIODOTHYRONINE) CLIA,Pathology,One Health Labs
260,20,1040,1300,62003,1,T4 (THYROXINE) CLIA,Pathology,One Health Labs
360,20,1440,1800,62004,1,TESTOSTERONE,Pathology,One Health Labs
400,20,1600,2000,62005,1,THROAT SWAB FOR CULTURE & SENSITIVITY,Pathology,One Health Labs
1500,30,3500,5000,39614,1,"Thyroid Function Test-2 (T3, T4, TSH)",Pathology,One Health Labs
180,20,720,900,62006,1,TIBC (TOTAL IRON BINDING CAPACITY),Pathology,One Health Labs
96,20,384,480,62008,1,TLC/WBC (TOTAL LEUCOCYTES COUNT),Pathology,One Health Labs
460,20,1840,2300,62009,1,Toxoplasmosis IgG,Pathology,One Health Labs
360,20,1440,1800,62010,1,Toxoplasmosis IgM,Pathology,One Health Labs
120,20,480,600,62011,1,TRIGLYCERIDES,Pathology,One Health Labs
440,20,1760,2200,62012,1,TROPONIN-I,Pathology,One Health Labs
260,20,1040,1300,62013,1,TSH (THYROID STIMULATING HORMONE) CLIA,Pathology,One Health Labs
400,20,1600,2000,62014,1,Ultrasound Anomaly Scan,Pathology,One Health Labs
200,20,800,1000,62048,1,Ultrasound Appendix,Pathology,One Health Labs
180,20,720,900,62015,1,Ultrasound FWB,Pathology,One Health Labs
240,20,960,1200,62041,1,Ultrasound Gallbladder + Liver,Pathology,One Health Labs
300,20,1200,1500,62016,1,Ultrasound KUB,Pathology,One Health Labs
200,20,800,1000,62040,1,Ultrasound Liver,Pathology,One Health Labs
320,20,1280,1600,62017,1,Ultrasound Lower Abdomen,Pathology,One Health Labs
180,20,720,900,62018,1,Ultrasound Pelvis,Pathology,One Health Labs
240,20,960,1200,62047,1,Ultrasound Pelvis & FWB,Pathology,One Health Labs
240,20,960,1200,62019,1,Ultrasound Prostate,Pathology,One Health Labs
320,20,1280,1600,62020,1,Ultrasound Upper Abdomen,Pathology,One Health Labs
400,20,1600,2000,62021,1,Ultrasound Whole Abdomen,Pathology,One Health Labs
130,20,520,650,62023,1,URIC ACID,Pathology,One Health Labs
120,20,480,600,62024,1,Urinary Calcium,Pathology,One Health Labs
360,30,840,1200,39592,1,"Urine C/E (Complete, Analysis)",Pathology,One Health Labs
400,20,1600,2000,62025,1,URINE CULTURE & SENSITIVITY,Pathology,One Health Labs
90,20,360,450,62026,1,URINE D/R,Pathology,One Health Labs
100,20,400,500,62027,1,URINE FOR ALBUMIN,Pathology,One Health Labs
450,30,1050,1500,39615,1,Urine for Bacterial C/S (Aerobic),Pathology,One Health Labs
380,20,1520,1900,62028,1,URINE FOR MICRO ALBUMIN,Pathology,One Health Labs
250,20,1000,1250,62036,1,URINE PROTEIN CLAEARANCE,Pathology,One Health Labs
200,20,800,1000,62029,1,VDRL/ RPR test for Syphilis,Pathology,One Health Labs
360,20,1440,1800,61869,1,VITAMIN B-12,Pathology,One Health Labs
600,20,2400,3000,61859,1,VITAMIN D (25-OH Vitamin-D),Pathology,One Health Labs
120,20,480,600,62030,1,VLDL,Pathology,One Health Labs
400,20,1600,2000,62031,1,WOUND SWAB C/S,Pathology,One Health Labs
290,20,1160,1450,62133,9,24 Hrs Urea Nitrogen,Pathology,Excel Labs
360,20,1440,1800,62221,9,24 Hrs Urine Chloride,Pathology,Excel Labs
240,20,960,1200,62132,9,24 Hrs Urine Potassium,Pathology,Excel Labs
270,20,1080,1350,62220,9,24 Hrs Urine Sodium,Pathology,Excel Labs
360,20,1440,1800,62050,9,24 Hrs. Creatinine Clearance,Pathology,Excel Labs
500,20,2000,2500,62565,9,24 Hrs. Creatinine Clearance,Radiology,Excel Labs
320,20,1280,1600,62084,9,24 Hrs. Microalbuminuria,Pathology,Excel Labs
290,20,1160,1450,62086,9,24 Hrs. Urine BUN,Pathology,Excel Labs
220,20,880,1100,62082,9,24 Hrs. Urine Calcium,Pathology,Excel Labs
650,20,2600,3250,62087,9,24 Hrs. Urine Cortisol,Pathology,Excel Labs
250,20,1000,1250,62088,9,24 Hrs. Urine Creatinine,Pathology,Excel Labs
320,20,1280,1600,62112,9,24 Hrs. Urine Electrolytes,Pathology,Excel Labs
320,20,1280,1600,62059,9,24 Hrs. Urine Electrolytes,Pathology,Excel Labs
260,20,1040,1300,62089,9,24 Hrs. Urine Magnesium,Pathology,Excel Labs
240,20,960,1200,62090,9,24 Hrs. Urine Phosphorus,Pathology,Excel Labs
270,20,1080,1350,62085,9,24 Hrs. Urine Protein,Pathology,Excel Labs
220,20,880,1100,62092,9,24 Hrs. Urine Urea,Pathology,Excel Labs
240,20,960,1200,62091,9,24 Hrs. Urine Uric Acid,Pathology,Excel Labs
790,20,3160,3950,62374,9,25-OH Vitamin D,Pathology,Excel Labs
930,20,3720,4650,62252,9,2nd Opinion for Bone Marrow Aspiration,Pathology,Excel Labs
970,20,3880,4850,62254,9,2nd Opinion for Bone Marrow Trephine,Pathology,Excel Labs
440,20,1760,2200,62239,9,2nd Opinion for Cyto,Pathology,Excel Labs
1460,20,5840,7300,62238,9,2nd Opinion for Histo with IHC,Pathology,Excel Labs
310,20,1240,1550,62242,9,A.S.O.T,Pathology,Excel Labs
270,20,1080,1350,62073,9,A/G Ratio,Pathology,Excel Labs
110,20,440,550,62105,9,Abbreviated Blood Picture,Pathology,Excel Labs
130,20,520,650,62299,9,ACP Stain,Pathology,Excel Labs
1020,20,4080,5100,62447,9,Adrenocorticotropic Hormone (ACTH),Pathology,Excel Labs
190,20,760,950,62205,9,AFB Stain,Pathology,Excel Labs
160,20,640,800,62165,9,Albumin,Pathology,Excel Labs
150,20,600,750,62390,9,Albumin,Pathology,Excel Labs
140,20,560,700,62558,9,Alcian Blue Stain,Pathology,Excel Labs
2300,20,9200,11500,62123,9,Aldosterone Renin Ratio,Pathology,Excel Labs
170,20,680,850,62143,9,Alkaline Phosphatase,Pathology,Excel Labs
610,20,2440,3050,62164,9,Alpha Fetoprotein,Pathology,Excel Labs
470,20,1880,2350,62435,9,Ammonia Level,Pathology,Excel Labs
880,20,3520,4400,62381,9,ANA (ANF) Screening,Pathology,Excel Labs
800,20,3200,4000,62554,9,ANA By IFA,Pathology,Excel Labs
900,20,3600,4500,62784,9,Anesthesia Fee,Radiology,Excel Labs
1200,20,4800,6000,62468,9,Angiotensin Converting Enzyme,Pathology,Excel Labs
1040,20,4160,5200,62203,9,Anti Cardiolipin IgG,Pathology,Excel Labs
1040,20,4160,5200,62204,9,Anti Cardiolipin IgM,Pathology,Excel Labs
790,20,3160,3950,62431,9,Anti CCP,Pathology,Excel Labs
690,20,2760,3450,62340,9,Anti ds DNA,Pathology,Excel Labs
1200,20,4800,6000,62391,9,Anti GBM,Pathology,Excel Labs
1060,20,4240,5300,62461,9,Anti mitochondrial Ab (AMA),Pathology,Excel Labs
1330,20,5320,6650,62438,9,Anti-Mullerian Hormone,Pathology,Excel Labs
1900,20,7600,9500,62099,9,Anti-Neutrophil Cytoplasmic Ab,Pathology,Excel Labs
730,20,2920,3650,62541,9,Anti-SARS-CoV-2 S (Spike Protein Antibody),Pathology,Excel Labs
760,20,3040,3800,62457,9,Anti-Sm,Pathology,Excel Labs
480,20,1920,2400,62243,9,Anti-Tg,Pathology,Excel Labs
1590,20,6360,7950,62386,9,Anti-thrombin,Pathology,Excel Labs
440,20,1760,2200,62244,9,Anti-TPO,Pathology,Excel Labs
80,20,320,400,62523,9,Any Additional Slide For H/E,Pathology,Excel Labs
220,20,880,1100,62241,9,Apolipoprotein B,Pathology,Excel Labs
280,20,1120,1400,62093,9,aPTT,Pathology,Excel Labs
470,20,1880,2350,62108,9,Arterial Blood Gases,Pathology,Excel Labs
450,20,1800,2250,62072,9,Ascitic Fluid R/E,Pathology,Excel Labs
1000,20,4000,5000,62075,9,B 12 & Folic Acid,Pathology,Excel Labs
1100,20,4400,5500,62257,9,B.N.P,Pathology,Excel Labs
550,20,2200,2750,62178,9,B12,Pathology,Excel Labs
190,20,760,950,62249,9,Bence Jones Protein,Pathology,Excel Labs
480,20,1920,2400,62166,9,bHCG,Pathology,Excel Labs
180,20,720,900,62245,9,Bicarbonate,Pathology,Excel Labs
300,20,1200,1500,62071,9,Bilirubin (T. D. ID),Pathology,Excel Labs
970,20,3880,4850,62389,9,Bioavailable Testosterone,Pathology,Excel Labs
820,20,3280,4100,62572,9,Biophysical Profile,Radiology,Excel Labs
1570,20,6280,7850,62246,9,BIOPSY (L) with IHC,Pathology,Excel Labs
1180,20,4720,5900,62441,9,BIOPSY (M) with IHC,Pathology,Excel Labs
1020,20,4080,5100,62247,9,BIOPSY (S) with IHC,Pathology,Excel Labs
550,20,2200,2750,62557,9,BIOPSY with IHC,Pathology,Excel Labs
170,20,680,850,62258,9,Bleeding Time,Pathology,Excel Labs
720,20,2880,3600,62443,9,Blood Alcohol,Pathology,Excel Labs
1600,20,6400,8000,62094,9,Blood Bag Screening,Pathology,Excel Labs
230,20,920,1150,62117,9,Blood Complete Picture,Pathology,Excel Labs
210,20,840,1050,62121,9,Blood Complete Picture,Pathology,Excel Labs
210,20,840,1050,62051,9,Blood Complete Picture,Pathology,Excel Labs
720,20,2880,3600,62212,9,Blood Culture,Pathology,Excel Labs
170,20,680,850,62512,9,Blood Culture Bottle,Pathology,Excel Labs
190,20,760,950,62210,9,Blood Group,Pathology,Excel Labs
180,20,720,900,62161,9,Blood Urea,Pathology,Excel Labs
800,20,3200,4000,62251,9,Bone Marrow Aspiration,Pathology,Excel Labs
880,20,3520,4400,62215,9,Bone Marrow Culture,Pathology,Excel Labs
2160,20,8640,10800,62255,9,Bone Marrow for Chromosomal Breakage,Pathology,Excel Labs
260,20,1040,1300,62120,9,Bone Marrow Harvest,Pathology,Excel Labs
650,20,2600,3250,62256,9,Bone Marrow Procedure,Pathology,Excel Labs
1780,20,7120,8900,62253,9,Bone Marrow Trephine (Biopsy),Pathology,Excel Labs
1560,20,6240,7800,62102,9,Bone Profile,Pathology,Excel Labs
2160,20,8640,10800,62103,9,Bone Profile Extended,Pathology,Excel Labs
300,20,1200,1500,62505,9,Bronchial Washing for Fungal Hyphae,Pathology,Excel Labs
470,20,1880,2350,62060,9,Brucella Antibodies,Pathology,Excel Labs
170,20,680,850,62167,9,BUN,Pathology,Excel Labs
1020,20,4080,5100,62224,9,C-Peptide Level,Pathology,Excel Labs
390,20,1560,1950,62315,9,C.R.P.,Pathology,Excel Labs
440,20,1760,2200,62259,9,C3,Pathology,Excel Labs
490,20,1960,2450,62260,9,C4,Pathology,Excel Labs
840,20,3360,4200,62169,9,CA 125,Pathology,Excel Labs
1040,20,4160,5200,62222,9,CA 19-9,Pathology,Excel Labs
190,20,760,950,62168,9,Calcium,Pathology,Excel Labs
1100,20,4400,5500,62497,9,Calprotectin,Pathology,Excel Labs
470,20,1880,2350,62261,9,Carbamazepine (Tegretol),Pathology,Excel Labs
1020,20,4080,5100,62574,9,Carotid Doppler,Radiology,Excel Labs
820,20,3280,4100,62170,9,CEA,Pathology,Excel Labs
2570,20,10280,12850,62098,9,Celiac Profile,Pathology,Excel Labs
750,20,3000,3750,62499,9,Ceruloplasmin,Pathology,Excel Labs
930,20,3720,4650,62122,9,Chem 7 (Fasting),Pathology,Excel Labs
930,20,3720,4650,62119,9,Chem 7 (Random),Pathology,Excel Labs
260,20,1040,1300,62172,9,Chloride,Pathology,Excel Labs
190,20,760,950,62135,9,Cholesterol,Pathology,Excel Labs
130,20,520,650,62304,9,Chylomicrons,Pathology,Excel Labs
470,20,1880,2350,62171,9,CK-MB,Pathology,Excel Labs
130,20,520,650,62309,9,Clotting Time,Pathology,Excel Labs
460,20,1840,2300,62262,9,CMV IgG,Pathology,Excel Labs
540,20,2160,2700,62311,9,CMV IgM,Pathology,Excel Labs
160,20,640,800,62491,9,Congo Red,Pathology,Excel Labs
250,20,1000,1250,62313,9,Coombs Direct,Pathology,Excel Labs
280,20,1120,1400,62314,9,Coombs Indirect,Pathology,Excel Labs
580,20,2320,2900,62547,9,Covid Antigen Test,Pathology,Excel Labs
760,20,3040,3800,62534,9,Covid-19 Antibody IgG,Pathology,Excel Labs
